"Handle","Title","Body (HTML)","Vendor","Type","Product Category","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Inventory Qty","Variant Grams","Variant Image","Image Src","Metafield: custom.product_type_standard [single_line_text_field]","Metafield: custom.product_type_detail [single_line_text_field]","Metafield: custom.style [single_line_text_field]","Metafield: custom.material [single_line_text_field]","Metafield: custom.fit_type [single_line_text_field]","Metafield: custom.colour_family [single_line_text_field]"
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms","<p data-start=""83"" data-end=""350"">The bikini top of the season. Our crochet wide band bikini bottom features double-layered fabric and a stylish wide band cut designed to sit perfectly on your hips for the ultimate flattering fit. It’s a fresh, feminine piece with a touch of effortless beach club charm.</p> <p data-start=""352"" data-end=""579"">With its delicate crochet detailing and flattering silhouette, this bikini is made to turn heads whether you’re lounging poolside or soaking up the sun. It’s the staple piece you’ll be reaching for again and again all summer long.</p> <ul> <li>Thick double layered quality lycra</li> <li><span style=""text-align: right;"">Stretchy fabric, slip on style</span></li> <li><span style=""text-align: right;"">Wide band straps for that ultra flattering fit</span></li> <li><span style=""text-align: right;"">Pair with our matching wide band bikini top</span></li> </ul> <p><br></p> <p><span style=""text-decoration: underline;""><strong><br>Model measurements:</strong></span></p> <p>Holly is 5’5 and wears a size 4<br>Bust: 32A<br>Waist: 23’’<br>Hips: 34’’<br>Dress size: 4-6</p>","Koko Bay","Bottom","Apparel & Accessories > Clothing > Swimwear > Swim Briefs","TRUE","Size","4","Color","Crochet","CROCHET-WIDE-BIK-CRO-4","24.00","shopify","deny","manual","35","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","6","Color","Crochet","CROCHET-WIDE-BIK-CRO-6","24.00","shopify","deny","manual","35","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","8","Color","Crochet","CROCHET-WIDE-BIK-CRO-8","24.00","shopify","deny","manual","38","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","10","Color","Crochet","CROCHET-WIDE-BIK-CRO-10","24.00","shopify","deny","manual","47","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","12","Color","Crochet","CROCHET-WIDE-BIK-CRO-12","24.00","shopify","deny","manual","9","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","14","Color","Crochet","CROCHET-WIDE-BIK-CRO-14","24.00","shopify","deny","manual","6","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","Size","16","Color","Crochet","CROCHET-WIDE-BIK-CRO-16","24.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/BB08CE61-FCBE-4B1A-A50E-AB2A9AAFA7BC.jpg?v=1754699721","","Bottom","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/477DAFAF-3EDC-4CE4-A160-0315285CA3C6.jpg?v=1754699703","","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/C11E3CBC-7B47-4543-835E-446BD9196BF7.jpg?v=1754699806","","","","","",""
"the-wide-band-bikini-bottoms-black-white-crochet","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/7BACA7E4-980E-4ED8-87B9-D59CD2707315.jpg?v=1754699743","","","","","",""
