"Handle","Title","Body (HTML)","Vendor","Type","Product Category","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Inventory Qty","Variant Grams","Variant Image","Image Src","Metafield: custom.product_type_standard [single_line_text_field]","Metafield: custom.product_type_detail [single_line_text_field]","Metafield: custom.style [single_line_text_field]","Metafield: custom.material [single_line_text_field]","Metafield: custom.fit_type [single_line_text_field]","Metafield: custom.colour_family [single_line_text_field]"
"the-amara-lace-lace-top-corset-black","the amara lace lace top corset black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p> <ul> <li>Premium lace fabric</li> <li>High neck silhouette</li> <li>Discreet zip closure at the back for seamless finish</li> <li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li> <li>Removable sculpting corset</li> <li>Corset designed to layer over the lace top<br> </li> <li>Styled with our matching Amara lace trousers</li> </ul> <p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Apparel & Accessories > Clothing > Clothing Tops","TRUE","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","35.00","shopify","deny","manual","16","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","Top","Top","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","35.00","shopify","deny","manual","15","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","35.00","shopify","deny","manual","1","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","35.00","shopify","deny","manual","1","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","35.00","shopify","deny","manual","3","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_136243a7-c5dc-4e58-a617-63a145c622a3.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0602.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0588.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_44ca880f-7303-438c-98ea-b4ca8f99d64d.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset-black","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_dd74610b-055c-46c3-b1aa-bf2a60d0906d.jpg?v=1765887871","","","","","",""
